# Hybrid Glider Plugin Log
# t,x,y,z,p,q,r
31,3.68488,0,-1.96781,0,-0.313245,3.14159
31.1,3.71008,0,-1.96966,0,-0.331947,3.14159
31.2,3.7348,0,-1.97187,0,-0.350137,3.14159
31.3,3.75905,0,-1.97442,0,-0.36781,3.14159
31.4,3.78285,0,-1.97729,0,-0.384957,3.14159
31.5,3.80619,0,-1.98044,0,-0.401574,3.14159
31.6,3.82908,0,-1.98387,0,-0.417657,3.14159
31.7,3.85154,0,-1.98755,0,-0.433202,3.14159
31.8,3.87356,0,-1.99146,0,-0.448207,3.14159
31.9,3.89516,0,-1.99558,0,-0.462672,3.14159
32,3.91635,0,-1.99991,0,-0.476595,3.14159
32.1,3.93714,0,-2.00441,0,-0.48998,3.14159
32.2,3.95753,0,-2.00908,0,-0.502826,3.14159
32.3,3.97755,0,-2.0139,0,-0.515137,3.14159
32.4,3.99719,0,-2.01886,0,-0.526917,3.14159
32.5,4.01647,0,-2.02394,0,-0.53817,3.14159
32.6,4.03541,0,-2.02914,0,-0.548901,3.14159
32.7,4.05401,0,-2.03443,0,-0.559115,3.14159
32.8,4.07228,0,-2.03982,0,-0.568819,3.14159
32.9,4.09024,0,-2.04529,0,-0.57802,3.14159
33,4.10789,0,-2.05083,0,-0.586725,3.14159
33.1,4.12525,0,-2.05644,0,-0.594943,3.14159
33.2,4.14232,0,-2.0621,0,-0.602681,3.14159
33.3,4.15912,0,-2.06781,0,-0.609949,3.14159
33.4,4.17566,0,-2.07356,0,-0.616756,3.14159
33.5,4.19195,0,-2.07935,0,-0.62311,3.14159
33.6,4.20799,0,-2.08516,0,-0.629023,3.14159
33.7,4.2238,0,-2.091,0,-0.634504,3.14159
33.8,4.23939,0,-2.09686,0,-0.639563,3.14159
33.9,4.25476,0,-2.10273,0,-0.64421,3.14159
34,4.26992,0,-2.1086,0,-0.648458,3.14159
34.1,4.28489,0,-2.11449,0,-0.652315,3.14159
34.2,4.29967,0,-2.12037,0,-0.655794,3.14159
34.3,4.31427,0,-2.12625,0,-0.658904,3.14159
34.4,4.3287,0,-2.13213,0,-0.661658,3.14159
34.5,4.34296,0,-2.138,0,-0.664065,3.14159
34.6,4.35707,0,-2.14385,0,-0.666138,3.14159
34.7,4.37102,0,-2.14969,0,-0.667887,3.14159
34.8,4.38483,0,-2.15552,0,-0.669324,3.14159
34.9,4.39851,0,-2.16132,0,-0.670459,3.14159
35,4.41205,0,-2.1671,0,-0.671303,3.14159
35.1,4.42547,0,-2.17286,0,-0.671867,3.14159
35.2,4.43877,0,-2.1786,0,-0.672162,3.14159
35.3,4.45196,0,-2.18431,0,-0.672198,3.14159
35.4,4.46504,0,-2.18999,0,-0.671987,3.14159
35.5,4.47802,0,-2.19563,0,-0.671538,3.14159
35.6,4.49091,0,-2.20125,0,-0.670861,3.14159
35.7,4.5037,0,-2.20684,0,-0.669968,3.14159
35.8,4.51641,0,-2.21239,0,-0.668868,3.14159
35.9,4.52904,0,-2.21791,0,-0.66757,3.14159
36,4.54159,0,-2.22339,0,-0.666085,3.14159
36.1,4.55406,0,-2.22883,0,-0.664422,3.14159
36.2,4.56647,0,-2.23423,0,-0.662591,3.14159
